2025-08-12T19:04:49.655073Z,Splee,26317,manual_review,collected only 1% of reported (1_18%)
2025-08-12T19:04:52.083642Z,LadyYuna,26913,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:04:56.585509Z,BomBi,27026,manual_review,collected only 18% of reported (18_18%)
2025-08-12T19:05:03.148447Z,ToastyButt,27801,manual_review,collected only 0% of reported (0_90%)
2025-08-12T19:05:04.911147Z,Hedwigz,28262,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:05:07.623482Z,sessyswife,28490,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:05:12.432857Z,Imik,28988,manual_review,collected only 0% of reported (0_30%)
2025-08-12T19:05:14.674185Z,edgewalker00,29094,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:05:16.163222Z,CRIMExTHINK,29183,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:05:20.797440Z,joday,29363,manual_review,collected only 0% of reported (0_21%)
2025-08-12T19:05:25.534865Z,Lockd0wn,29582,manual_review,collected only 3% of reported (3_26%)
2025-08-12T19:05:27.200150Z,Yukia,29863,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:05:29.707833Z,Kuze,31211,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:05:34.956433Z,Hoshiko,31969,manual_review,collected only 1% of reported (1_54%)
2025-08-12T19:05:39.430541Z,LordiChang,32336,manual_review,collected only 3% of reported (3_20%)
2025-08-12T19:05:40.893441Z,Ninja_kitty,32591,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:05:42.638233Z,TuGu,32713,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:05:44.207928Z,Amarante,32927,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:05:45.751176Z,kilik9292,33154,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:05:50.327475Z,CeroStrife,33169,manual_review,collected only 17% of reported (17_72%)
2025-08-12T19:05:55.389801Z,Its-A-Trap,33427,manual_review,collected only 1% of reported (1_26%)
2025-08-12T19:06:00.288581Z,lblsslx,33680,manual_review,collected only 21% of reported (21_24%)
2025-08-12T19:06:01.653734Z,yukime,33696,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:03.975823Z,BoxOfAids,34527,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:05.475711Z,Yoshiofthewire,34613,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:07.093557Z,Stinkiemcphee,34623,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:08.446561Z,Nayomi,34654,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:13.013064Z,Eifie,34690,manual_review,collected only 5% of reported (5_35%)
2025-08-12T19:06:17.775866Z,Sinmore,34782,manual_review,collected only 9% of reported (9_02%)
2025-08-12T19:06:19.545290Z,NeonToppaTotoro,35184,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:24.004229Z,TheMagicalDreams,35680,manual_review,collected only 5% of reported (5_02%)
2025-08-12T19:06:28.533138Z,Manga,35774,manual_review,collected only 3% of reported (3_32%)
2025-08-12T19:06:30.078768Z,prettynpink194,35978,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:32.511691Z,SackMasta,36757,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:38.820481Z,Kapia,36890,manual_review,collected only 0% of reported (0_90%)
2025-08-12T19:06:41.429966Z,adamus2406,37751,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:44.314026Z,LightningEdge,39081,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:51.387954Z,mdmq,39626,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:53.190258Z,Ayu_Tsukimiya,40109,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:54.507318Z,lagrima,40236,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:06:59.135977Z,electronfox,40983,manual_review,collected only 2% of reported (2_65%)
2025-08-12T19:07:03.708001Z,ZeroKirby,41414,manual_review,collected only 1% of reported (1_42%)
2025-08-12T19:07:05.115027Z,kinomichan,42157,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:07:07.070434Z,Endymion,42462,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:07:08.905558Z,Nonoriri,43100,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:07:11.262923Z,SumPi,44042,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:07:17.768993Z,Cipher___,44810,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:07:19.276005Z,noafe,45110,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:07:24.140707Z,xOkochan,45310,manual_review,collected only 5% of reported (5_04%)
2025-08-12T19:07:25.491692Z,Zucca,45339,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:07:39.051443Z,KronoSGod,46875,manual_review,collected only 3% of reported (3_99%)
2025-08-12T19:07:43.443770Z,Dravania,47101,manual_review,collected only 10% of reported (10_04%)
2025-08-12T19:07:48.660975Z,Levo,48776,manual_review,collected only 0% of reported (0_55%)
2025-08-12T19:07:50.264513Z,Pznoy,49630,manual_review,reported>0 but collected==0 (private/blocked)
2025-08-12T19:07:52.290787Z,jcaliff,50732,manual_review,reported>0 but collected==0 (private/blocked)
